20191002	Aaron	M	15325813073	10000	4-5-1002	98
20191003	Abel	M	15325813074	10001	4-5-1002	97
20191399	Dina	F	15325813999	10789	9-8-2145	66
20191074	Edward	M	15325813131	10071	4-5-1002	95
20191075	Edwin	M	15325813132	10072	4-5-1002	94
20191076	Elijah	M	15325813133	10073	4-5-1002	93
20191078	Elvis	M	15325813135	10075	4-5-1002	91
20191080	Eric	M	15325813137	10077	4-5-1008	89
20191081	Ethan	M	15325813138	10078	4-5-1008	88
20191118	James	F	15325813175	10115	4-5-1047	51
20191119	Jason	F	15325813176	10116	4-5-1048	50
20191120	Jay	F	15325813177	10117	4-5-1049	49
20191123	Jerry	F	15325813180	10120	4-5-1050	46
20191124	Jesse	F	15325813181	10121	4-5-1050	45
20191125	Jim	F	15325813182	10122	4-5-1050	44
20191160	Mark	M	15325813217	10157	4-5-1019	77
20191266	Seng	M	19857136666	16666	5-6-1211	99
20191162	Mars	F	15325813219	10159	4-5-1020	75
20191264	Zoey	F	15325813321	10261	4-5-1050	41
20191265	Zora	F	15325813322	10262	4-5-1050	40
